TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
1,KATSINA,BAKORI,BAKORI A,BAKORI GARI 1 - NADABO PRI.SCH.,20-01-01-001,1116
2,KATSINA,BAKORI,BAKORI A,BAKORI GARI II -NADABO PRI. SCH.,20-01-01-002,1294
3,KATSINA,BAKORI,BAKORI A,BAKORI III - K/G TALBAN BAKORI,20-01-01-003,1073
4,KATSINA,BAKORI,BAKORI A,BAKORI GARI IV - MASALLACIN IZALA,20-01-01-004,917
5,KATSINA,BAKORI,BAKORI A,UNG TOFA I - K/G SARKIN FAWA,20-01-01-005,911
6,KATSINA,BAKORI,BAKORI A,UNG TOFA II K/G.  MALAM BALA,20-01-01-006,971
7,KATSINA,BAKORI,BAKORI A,UNG TOFA III - K/G MAI FULANI,20-01-01-007,681
8,KATSINA,BAKORI,BAKORI A,UNG TOFA IV - OLD MARKET,20-01-01-008,898
9,KATSINA,BAKORI,BAKORI A,BURI NADABO - K/G. MAL. YAHUZA,20-01-01-009,1026
10,KATSINA,BAKORI,BAKORI A,RAFIN SARKIN ZANGO I - DUTSEN ZANZARYA,20-01-01-010,1142
11,KATSINA,BAKORI,BAKORI A,RAFIN SARKIN ZANGO II K/G ALH.LAWAL RUMAWA,20-01-01-011,773
12,KATSINA,BAKORI,BAKORI A,TASHAR GUGA 1 - L.E.A T/GUGA,20-01-01-012,1229
13,KATSINA,BAKORI,BAKORI A,TASHAR GUGA II L.E.A.T/GUGA,20-01-01-013,978
14,KATSINA,BAKORI,BAKORI A,TASHAR GUGA III MARABAR DANJA K/G MAKAMA,20-01-01-014,1053
15,KATSINA,BAKORI,BAKORI A,BAKORI GARI I/NADABO PRI. SCHOOL (NEW),20-01-01-015,45
16,KATSINA,BAKORI,BAKORI A,BAKORI GARI II /NADABO PRI. SCHOOL (NEW I),20-01-01-016,31
17,KATSINA,BAKORI,BAKORI A,BAKORI GARI II /NADABO PRI. SCHOOL (NEW II),20-01-01-017,41
18,KATSINA,BAKORI,BAKORI A,UNG. TOFA PRI SCHOOL (RUBURUBU),20-01-01-018,51
19,KATSINA,BAKORI,BAKORI A,K/G MAI UNG. FUZI,20-01-01-019,48
20,KATSINA,BAKORI,BAKORI A,UNG. TOFA I ISLAMIYYA K/G MAI GARBA,20-01-01-020,30
21,KATSINA,BAKORI,BAKORI A,UNG TOFA II K/G MALAM BALA,20-01-01-021,12
22,KATSINA,BAKORI,BAKORI A,UNG TOFA TOWNSHIP POLICE POST MU'UTASIM GATE,20-01-01-022,06
23,KATSINA,BAKORI,BAKORI A,BURI NADABO K/G MAL YAHUZA (NEW),20-01-01-023,17
24,KATSINA,BAKORI,BAKORI A,RAFIN SARKIN ZANGO I DUTSEN ZANZARYA,20-01-01-024,53
25,KATSINA,BAKORI,BAKORI A,RAFIN SARKIN ZANGO II K/G ALH. LAWAL RUMAWA (NEW),20-01-01-025,30
26,KATSINA,BAKORI,BAKORI A,TASHAR GUGAI LEA T/GUGA,20-01-01-026,52
27,KATSINA,BAKORI,BAKORI A,TASHAR GUGA III LEA T/GUGAI (NEW),20-01-01-027,36
28,KATSINA,BAKORI,BAKORI A,HAYIN ALH. (KWAKINA) GINDIN CEDIYA,20-01-01-028,152
29,KATSINA,BAKORI,BAKORI B,ZAGE-ZAGI -PRI.SCH. ZAGE-ZAGI,20-01-02-001,699
30,KATSINA,BAKORI,BAKORI B,ZAGE-ZAGI - VETINERY,20-01-02-002,652
31,KATSINA,BAKORI,BAKORI B,BAKORI GARI 1 - DISPENSARY,20-01-02-003,874
32,KATSINA,BAKORI,BAKORI B,BAKORI GARI II - NEAR DISTRICT H.OFFICE,20-01-02-004,966
33,KATSINA,BAKORI,BAKORI B,BAKORI GARI III - RAMALAN PRI SCH.,20-01-02-005,2515
34,KATSINA,BAKORI,BAKORI B,BAKORI GARI III - F.S.A. CLINIC,20-01-02-006,799
35,KATSINA,BAKORI,BAKORI B,UNG. YARO - K/G MAI UNG.,20-01-02-007,1175
36,KATSINA,BAKORI,BAKORI B,YANLAMBU DANDALI,20-01-02-008,764
37,KATSINA,BAKORI,BAKORI B,ADAKO - K/G MAI UNG,20-01-02-009,666
38,KATSINA,BAKORI,BAKORI B,UNG. SANYI I - K/G MAI UNG,20-01-02-010,1374
39,KATSINA,BAKORI,BAKORI B,UNG SANYI II - OPPOSITE MOTOR PARK,20-01-02-011,1072
40,KATSINA,BAKORI,BAKORI B,ABARSHI - ABARSHI,20-01-02-012,839
41,KATSINA,BAKORI,BAKORI B,DANFULANI - DANFULANI K/G MAI.UNG,20-01-02-013,668
42,KATSINA,BAKORI,BAKORI B,UNG. SAMBO I - K/G MAI UNG,20-01-02-014,1134
43,KATSINA,BAKORI,BAKORI B,UNG. SAMBO II - K/G MAI UNG AND YARA AREA,20-01-02-015,906
44,KATSINA,BAKORI,BAKORI B,BAKORI GARI DISPENSARY,20-01-02-016,13
45,KATSINA,BAKORI,BAKORI B,BAKORI GARI II NEAR DISTRICT HEAD OFFICE,20-01-02-017,35
46,KATSINA,BAKORI,BAKORI B,BAKORI GARI III YAR GOGGO PRI. SCH.,20-01-02-018,24
47,KATSINA,BAKORI,BAKORI B,BAKORI GARI III WATER BOARD OFFICE BEHIND INEC OFFICE,20-01-02-019,166
48,KATSINA,BAKORI,BAKORI B,BAKORI GARI III RAMALAN PRI. SCH. (NEW I),20-01-02-020,93
